text;label
 расчет заработной платы в полном объеме отпускные больничные листы пособия по уходу за ребенком работа с исполнительными листами и тд ;1
 подготовка документов на перечисление заработной платы платежные ведомости ;1
 начисление налогов и взносов на фот ;1
 формирование отчетности в социальные фонды ифнс росстат ;1
 работа с табелями учета рабочего времени ;1
 оформление различных справок сотрудникам ;1
консультирование посетителей по услугам центра выполнение стандартов работы по обслуживанию посетителей;1
маршрутизация пациентов;1
работа с медицинскими картами;1
составление и ведение списка пациентов;1
контроль порядка и чистоты в зале ожидания;0
ведение отчетности;1
управление областью хозяйственного обеспечения деятельности предприятия;0
обеспечение хранения соответствующих хозяйственных ценностей;0
мониторинг ситуации на рынке с хозяйственными товарами стройматериалами закупаемыми для нужд предприятия;1
представление предприятия во взаимодействии с контрагентами в сфере закупок соответствующих товаров и их последующего обслуживания;0
мониторинг достаточности количества хозяйственных товаров и строительных материалов а также проведение их своевременных закупок;1
взаимодействие с другими подразделениями предприятия по вопросам их заявок на закупку соответствующих хозяйственных товаров и строительных материалов;1
руководство работой персонала занятого в сфере хозяйственного обеспечения предприятия;0
знание марок и особенностей востребованного предприятием хозяйственного инвентаря и строительных материалов;0
отслеживание корректности бухгалтерской документации в сфере хозяйственного обслуживания предприятия;1
соблюдение принципов документооборота в своей сфере ответственности;1
участие в мероприятиях по инвентаризации в своей зоне ответственности;0
наблюдение за соблюдением правил пожарной и технической безопасности в своей сфере ответственности;0
выполнение правомочных указаний руководства предприятия в пределах своей ответственности;0
контроль за правильностью оформления хозяйственных операций с учетом взаимодействия юридических лиц внутри группы компаний;1
контроль за соблюдением порядка документооборота;1
методическая помощь сотрудникам бухгалтерии и иных подразделений компании в документальном оформлении операций в соответствии с заключенными хозяйственными договорами;1
участие в проведении аудиторских и инвентаризационных мероприятий;0
участие в проведении расчетов с контрагентами проверка актов сверки;0
тесное взаимодействие с производственнотехническим отделом пто по распределению расходов по объектам строительства;0
ведение сводного платежного календаря по трем юридическим лицам в части регулярных обязательных платежей;0
совместное с непосредственным руководителем ведение бддс бдр;0
участие вместе с главными бухгалтерами предприятий в подготовке документов для лизинговых компаний банков для ежеквартального финансового мониторинга при заключении сделок;1
активное участие в реализации проектов по автоматизации процессов учета совместном с непосредственным руководителем составлении регламентов инструкций;0
участие в адаптации данных бухгалтерского учета для системы управленческого учета под требования бизнеса;0
обеспечение руководителей предприятия финансового директора руководителей подразделений информационноаналитической поддержкой для принятия решений;0
выполнение отдельных служебных поручений финансового директора руководителей предприятия;0
организация документооборота;1
составление и сдача отчетности в ифнс фсс пфр гкс;0
анализ финансовых показателей;1
формирование платёжных поручений;1
формирование актов сверки с контрагентами;0
представление интересов в контролирующих органах;0
проверка учета на наличие ошибок;1
оценка налоговых рисков с последующими рекомендациями по их снижению;1
отчёты и сводная информация руководителю;1
работа с информационноправовыми базами;1
оконченное высшее образование;0
знание бухгалтерского учета и правил ведения первичной документации навыки работы с 1с бухгалтерия 8283 системы диадок сбис;0
аудит учетных и сбытовых программных комплексов внесение предложений по оптимизации с целью внесенияавтоматической выгрузки информации в гис жкх;0
подготовка согласование технических решений участие во внедрении доработок учетных и сбытовых программных комплексов общества с целью внесенияавтоматической выгрузки информации в гис жкх;0
проверка полноты и корректности информации размещенной в учетных и сбытовых программных комплексах общества необходимой для внесения сведений в гис жкх;1
внесение информации в гис жкх в объемах закрепленных за отделом продаж управления сбыта локальными нормативными актами общества документами смк в сроки установленные действующим законодательством рф;0
проверка и контроль полноты достоверности своевременности автоматической выгрузки в гис жкх информации в объемах закрепленных за отделом продаж управления сбыта локальными нормативными актами общества документами смк в сроки установленные действующим законодательством рф;0
аудит законодательства по вопросам связанным с гис жкх внесение предложений о внесении изменений разработке новых локальных нормативных актов общества документов смк в целях соблюдения требований законодательства по гис жкх;0
участие в разработке и согласовании локальных нормативных актов общества документов смк в целях соблюдения требований законодательства по гис жкх;0
взаимодействие ведение переписки с управляющими обслуживающими организациями органами местного самоуправления иными органами власти в целях получения необходимой для размещения в гис жкх информации в объеме определенном действующим законодательством рф в пределах ответственности отдела продаж управления сбыта;0
обеспечивает ведение отчетности в рамках своего функционала предоставление отчетов и информации по запросам руководителей общества;1
взаимодействует с технической поддержкой гис жкх при необходимости направлет и контролирует получение ответов на запросы в части работоспособности гис жкх;0
участие в подготовке техникокоммерческого предложения проверка актуальности цен в калькуляции;0
запросы ткп у поставщиков арматуры и прочего оборудования;0
выполнение расчетов стоимости разработки кд;0
участие в подготовке отчетности по оценке и анализу продукции выпускаемой с участием иц;1
приём наличных денежных средств;0
сдача инкассации;0
выдача доверенностей;0
разноска банковской выписки;0
ведение на основе пко и рко кассовой книги;0
составление кассовой отчётности;1
выполнение отдельных служебных поручений;0
обеспечение выпуска на маршруты технически исправного автотранспорта;0
организация и контроль технического обслуживания и ремонта автотранспорта;0
взаимодействие с гибдд страховыми компаниями;0
формирование заявок на закупку и списание запчастей гсм;1
анализ затрат на автотранспорт;1
контроль соблюдения стандартов работы компании;0
прием регистрация размещение и выписка гостей;1
прием и оформление необходимых документов;1
прием и обработка заявок на предварительное бронирование номеров по телефону почте и тд;1
обеспечение работы по эффективному и культурному обслуживанию гостей созданию для них комфортных условий;0
соблюдение стандартов работы в гостиничной сфере;0
информирование проживающих в гостинице о предоставляемых дополнительных услугах прием заказов на их выполнение и контролирование их исполнения;1
оперативное и корректное реагирование на информацию от гостя;0
ведение кадрового делопроизводства в полном объёме прием увольнение перевод;0
своевременная отчетность;1
обеспечение выпуска на маршруты технически исправного автотранспорта;0
организация и контроль технического обслуживания и ремонта автотранспорта;0
взаимодействие с гибдд страховыми компаниями;0
формирование заявок на закупку и списание запчастей гсм;0
анализ затрат на автотранспорт;0
контроль соблюдения стандартов работы компании;0
обслуживание it инфраструктуры предприятия серверы компьютеры оргтехника сетевое оборудование программы рабочие;0
базовая диагностика сетевых проблем;0
выкладка товара;0
оценивает товарный запас конкретных позиций проводит мониторинг и пополнение остатков;0
общение с поставщиками дистанционно;0
ежедневный осмотр технического состояния автомобиля;0
доставка бригады на объект;0
выполнение поставленных задач по уборке территории;0
разработка desktopприложений  webприложений;0
оптимизациядоработкасопровождение существующего по;0
осуществление библиотечного обслуживания пользователей;0
организация культурномассовых мероприятий;0
организация выставок раскрывающих библиотечный фонд и другие информационные ресурсы в традиционном и цифровом формате;0
наполнение и актуализация информации в социальных сетях структурного подразделения библиотеки;0
своевременное и достоверное заполнение обязательной отчетности;1
участие в районных областных всероссийских мероприятиях;0
участие в проектной деятельности;0
повышение профессионального уровня;0
приём заявок на поставку продукции от клиентов и торговых представителей общества;1
своевременная выписка накладных и счетовфактур а также соответствующих сопроводительных документов;1
строгая проверка правильности и соответствия оформления сопроводительных документов согласно законодательству рф и внутренним правилам предприятия;1
систематизация архивация и хранение отгруженных верно оформленных и исправленных накладных и счетовфактур согласно установленному порядку в обществе;1
осуществляет надзор за содержанием здания аэровокзала его общественных и служебных помещений контролирует работу клининговых компаний по обслуживанию и уборке аэровокзального комплекса привокзальной площади обеспечивает контроль за сохранностью материальнотехнических ценностей;0
выполнение плана продаж лучшая похвала для супервайзера  выполненный план продаж;0
анализ рынка анализируем планируем и получаем результат;1
организация руководство и контроль работы команды продаж продажи супервайзера на 80 делает команда;0
развитие продаж на подотчетной территории развитие территории  залог выполнения планов и роста продаж;0
контроль остатков эффективный контроль остатков  залог успешных продаж;0
контроль финансовой дисциплины любой товар или услуга должны быть оплачены;0
планирование и отчетность планируем и подводим итоги;1
соблюдение санитарноэпидемиологического режима;0
помощь врачу при проведении различных видов манипуляций травматологортопед нейрохирург невролог;0
подготовка кабинетов к работе;0
ведение медицинской документации и отчетности;1
работа в военном комиссариате;0
доставка хлебобулочных и кондитерских изделий потребителю;0
руководство производственнохозяйственной деятельностью цеха своевременное обеспечение запчастями и материалами;0
производственное планирование и расстановка задач;0
эффективная загрузка цеха;0
ведение документооборота и деловой переписки в 1с альфа авто;0
иметь представление о металлообработке технологиях восстановления узлов и агрегатов допусках и посадках не про рассаду;0
работа с рекламациями предупреждение брака повышение эффективности труда;0
оперативное управление деятельностью предприятия;0
обеспечение функционирования животноводства на ферме в рамках не ниже чем предусмотрено экономическими физическими и стоимостными технологическими параметрами заложенных в бюджет доходов и расходов предприятия;0
управление молочной фермой сыроварней 2 000 голов крс;0
закупка сельскохозяйственной техники контроль эксплуатации;0
 проведение мероприятий по повышению эффективности деятельности животноводства при необходимости существенных изменения в бюджете  по предварительному согласованию с генеральным директором ;0
 планирование и отчетность по критериям и показателям работы животноводства и растениеводства ;1
 взаимодействие с органами государственной власти и местного самоуправления надзорными и правоохранительными органами ;0
 управление персоналом предприятия ;0
принимать звонки вести заявки отвечать на письма и вести переписку в мессенджерах;1
заносить информацию о гостях в программу;1
оформлять заезд и выезд гостей производить расчет с гостями;1
контроль состояния объектов перед заселением и после выселения гостей;0
консультация гостей по возникающим вопросам;1
координация всех служб комплекса;1
организация культурномассовых мероприятий;0
закупка бытовой химии и пр;0
ведение документооборота организации регистрация отправка и получение корреспонденции работа с курьерскими службами;1
сопровождение командировок руководящего состава покупка билетов размещение в гостинице трансфер;0
административнохозяйственные функции офиса заказ канцтоваров расходных материалов контроль работы оргтехники встреча гостей;0
контроль работы уборщиц водителей работать с заявками на перевозку и доставку до места назначения работников документов и грузов;1
организация представительских мероприятий подготовка и проведение встреч совещаний ведение протоколов;0
организация корпоративных мероприятий;0
выбирать сувенирную и подарочную продукцию в соответствии с категорией мероприятия и особенностями получателей;0
поддерживать положительный имидж компании у посетителей партнеров и клиентов;0
предупреждать и разрешать конфликтные ситуации применять медиативные технологии;0
копирование сканирование документов по запросу сотрудников;1
оценивать техническое состояние мебели офисного и бытового оборудования;0
